CÓDIGO;ESCUELA;REGIONAL;DISTRITO;CORREGIMIENTO;LATITUD;LONGITUD;NIVEL ESCOLAR;MATRÍCULA;ENERGIA;ACCESO;Director;Telefono;Regional Meduca;Telefono2;Categoría Implementación;IP WAN (mikrotik);IP LAN;Firewall;Gabinete 9U;PATCHPANEL;MANEJADOR DE CABLE;Bandeja;PDU;UPS;UPS SNMP Card;RT Mikrotik Tipo A (negro);RT Mikrotik Tipo B (blanco);AP INDOOR;AP OUTDOOR;Power Inyector ;Kit Starlink;Base Starlink;Gabinete 42U;Fotovoltaico;Bodega;Instalacion;Fecha final;COMENTARIOS;Configurado x Liberty
566;C.E.B.G. PEDRO GUEVARA;COCLÉ;AGUADULCE;EL CRISTO;8.254250630;-80.61747080;Primaria;217;SI;TERRESTRE;SILVIA A. DE CASTILLO;6476-7496// 997-6105;DANIEL HERRERA;66775810;Drop CWP;10.60.62.174/30;172.16.37.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
567;C.E.B.G. LOMA DE GONZALEZ;COCLÉ;AGUADULCE;EL CRISTO;8.312583710;-80.68580410;Basica General;73;SI;MARÍTIMO;CELIA AGRAZAL;6891-7028;DANIEL HERRERA;66775810;Construcción OE;10.80.85.232/30;172.17.47.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
570;C.E.B.G. EL BARRE- RO;COCLÉ;AGUADULCE;EL ROBLE;8.155917690;-80.68635970;Primaria;135;SI;TERRESTRE;LORENA GONZALES;6479-3601;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.16/30;172.17.0.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
571;C.E.B.G. ROGELIO ROBLES MENDEZ;COCLÉ;AGUADULCE;EL ROBLE;8.193650000;-80.73176000;Primaria;39;SI;TERRESTRE;LOURDES G. GONZÁLEZ C.;6706-7289;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.20/30;172.17.0.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
576;ESC. BILINGÜE EL ROBLE;COCLÉ;AGUADULCE;EL ROBLE;8.167593000;-80.64449700;Primaria;311;SI;TERRESTRE;PEDRO MOJICA;6883-0872;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.152/30;172.17.156.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
579;C.E.B.G. SALITROSA;COCLÉ;AGUADULCE;EL ROBLE;8.210361890;-80.63663750;Primaria;108;SI;TERRESTRE;Elvis Andrade;6600-3068;DANIEL HERRERA;66775810;Drop CWP;10.60.63.124/30;172.16.43.224/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
580;ESC. SEC. EL ROBLE;COCLÉ;AGUADULCE;EL ROBLE;8.163139870;-80.65635970;"Media Academic
a";391;SI;TERRESTRE;LIZBETH MORALES;6664-4685;DANIEL HERRERA;66775810;Drop CWP;10.60.62.68/30;172.16.34.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
581;C.E.B.G. ERIC DEL VALLE;COCLÉ;AGUADULCE;EL ROBLE;8.201195330;-80.70413740;Primaria;179;SI;MARÍTIMO;ELIZABETH LOPEZ;6470-5245;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.24/30;172.17.0.192/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
582;C.E.B.G. JAGUITO;COCLÉ;AGUADULCE;EL ROBLE;8.178417510;-80.68747080;Primaria;131;SI;MARÍTIMO;KAYRA ESPINOZA;6614-2607;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.156/30;172.17.156.224/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
583;"C.E.B.G. FRANCISCA
C. DE SIERRA";COCLÉ;AGUADULCE;EL ROBLE;8.170084240;-80.63608190;Primaria;178;SI;TERRESTRE;MARIA FLAVIO;6572-5807;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.160/30;172.17.157.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
584;ESC. CERRO MORADO;COCLÉ;AGUADULCE;POCRÍ;8.240639580;-80.57830410;Primaria;76;SI;TERRESTRE;FRANCISCA JIMENEZ;6528-7768;DANIEL HERRERA;66775810;Drop CWP;10.60.32.140/30;172.16.44.96/30;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Diciembre;;SI
585;C.E.B.G. SAN MARTIN DE PORRES;COCLÉ;AGUADULCE;POCRÍ;8.259806110;-80.53885970;Primaria;199;SI;TERRESTRE;AMARILIS CARRION;6740-5211;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.164/30;172.17.157.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
586;C.E.B.G. BILINGÜE EL PERU;COCLÉ;AGUADULCE;POCRÍ;8.253139530;-80.55608190;Primaria;526;SI;MARÍTIMO;ARCELINDA DE JULIO;6687-4956;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.168/30;172.17.157.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
589;P.C. POCRI;COCLÉ;AGUADULCE;POCRÍ;7.662030560;-80.12219300;Prof. Y Tecnica;723;SI;TERRESTRE;Raúl Rodríguez;6485-3156;DANIEL HERRERA;66775810;Drop CWP;10.60.63.200/30;172.16.46.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
592;C.E.B.G. BILINGÜE JUAN DEMOSTENES AROSEMENA;COCLÉ;AGUADULCE;POCRÍ;8.258139410;-80.54885970;Primaria;811;SI;TERRESTRE;CANDELARIO REYES;6754-0434;DANIEL HERRERA;66775810;Drop CWP;10.60.64.16/30;172.16.48.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
594;ESC. EL BIJAGUAL;COCLÉ;ANTÓN;ANTÓN;8.378416760;-80.25969300;Primaria;121;SI;TERRESTRE;AMALIA PÉREZ;6872-8404;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.172/30;172.17.157.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
595;C.E.B.G. BILINGÜE REPUBLICA DOMINICANA;COCLÉ;ANTÓN;ANTÓN;8.393534800;-80.26478710;Primaria;974;SI;MARÍTIMO;CELIA MORAN ;6601-3867;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.176/30;172.17.157.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Enero 2026;;SI
602;COL. SALOMON PONCE AGUILERA;COCLÉ;ANTÓN;ANTÓN;8.393416710;-80.26719300;Prof. Y Tecnica;1799;SI;TERRESTRE;ERICA ARIAS QUIROZ;6739-4049;DANIEL HERRERA;66775810;Fibra Activa CWP;10.60.63.180/30;172.16.45.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;NO
607;C.E.B.G. DR. MANUEL PATIÑO;COCLÉ;ANTÓN;ANTÓN;8.400361180;-80.26524860;Premedia;939;SI;TERRESTRE;Leonida C. de Ramos;6826-4241;DANIEL HERRERA;66775810;Fibra Activa CWP;10.60.63.184/30;172.16.45.192/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
608;C.E.B.G. GUABAS ARRIBA;COCLÉ;ANTÓN;ANTÓN;8.468138720;-80.26108190;Basica General;95;SI;TERRESTRE;Nixia M. Toribio R.;6229 8607;DANIEL HERRERA;66775810;Construcción OE;10.80.85.236/30;172.17.47.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
609;C.E.B.G. LA HINCA- DA;COCLÉ;ANTÓN;ANTÓN;8.421194400;-80.25913750;Basica General;7;SI;TERRESTRE;KARINA ABREGO;6658-0751;DANIEL HERRERA;66775810;Construcción OE;10.80.85.240/30;172.17.47.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
612;C.E.B.G. CABUYA ARRIBA;COCLÉ;ANTÓN;CABUYA;8.547464150;-80.16281440;Primaria;46;SI;MARÍTIMO;ALICIA RODRÍGUEZ;6491-4867;DANIEL HERRERA;66775810;Construcción OE;10.80.85.244/30;172.17.47.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
613;C.E.B.G. CABUYA;COCLÉ;ANTÓN;CABUYA;8.547582820;-80.16219300;Primaria;57;SI;TERRESTRE;ALEYDA E. BERNAL G;6266-3786;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.188/30;172.17.157.224/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
615;C.E.B.G. EL CHIRU;COCLÉ;ANTÓN;EL CHIRÚ;8.399249980;-80.19024860;Primaria;135;SI;TERRESTRE;GLORIA GOVEA;6931-9210;DANIEL HERRERA;66775810;Construcción OE;10.80.85.248/30;172.17.47.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
616;C.E.B.G. BONA AGUILAR DE AGUILAR;COCLÉ;ANTÓN;EL CHIRÚ;8.324836000;-80.20843700;Primaria;18;NO;MARÍTIMO;YAMILETH GONZÁLEZ TORRES;6650-0659;DANIEL HERRERA;66775810;Construcción OE;10.80.85.252/30;172.17.47.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
619;C.E.B.G. PUEBLO NUEVO;COCLÉ;ANTÓN;EL RETIRO;8.390337000;-80.20151700;Primaria;121;SI;TERRESTRE;YESENIA OJO RAMOS;6785-5994;DANIEL HERRERA;66775810;Construcción OE;10.80.86.0/30;172.17.48.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
620;C.E.B.G. JOSE MARCIANO MO- RENO;COCLÉ;ANTÓN;EL CHIRÚ;8.409527740;-80.23969300;Primaria;57;SI;TERRESTRE;MARY MARTINEZ;6803-2315;DANIEL HERRERA;66775810;Construcción OE;10.80.86.4/30;172.17.48.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
621;C.E.B.G. LLANO GRANDE;COCLÉ;ANTÓN;EL RETIRO;8.440638830;-80.18274860;Primaria;68;SI;TERRESTRE;NAZARETH SOLIS;6817-6141;DANIEL HERRERA;66775810;Construcción OE;10.80.86.8/30;172.17.48.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
622;C.E.B.G. EL RETIRO;COCLÉ;ANTÓN;EL RETIRO;8.480638670;-80.15635970;Primaria;86;SI;TERRESTRE;Leyda Carrasco;6538-9139;DANIEL HERRERA;66775810;Construcción OE;10.80.86.12/30;172.17.48.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
625;C.E.B.G. ALTOS DE LA MESA;COCLÉ;ANTÓN;EL VALLE;8.635915870;-80.13191520;Primaria;20;SI;TERRESTRE;DIANA PORTUGAL;6850-2190;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.28/30;172.17.0.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
628;C.E. EL VALLE;COCLÉ;ANTÓN;EL VALLE;8.612582560;-80.11802640;Prof. Y Tecnica;812;SI;TERRESTRE;NELLY FLAVIO;6543-4536;DANIEL HERRERA;66775810;Drop CWP;10.60.62.212/30;172.16.38.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
630;C.E.B.G. BILINGÜE EL VALLE;COCLÉ;ANTÓN;EL VALLE;8.601749310;-80.11997080;Primaria;427;SI;MARÍTIMO;Lidia Rodriguez;6784-1859;DANIEL HERRERA;66775810;Drop CWP;10.60.64.24/30;172.16.48.192/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
631;C.E.B.G. BILINGÜE LA COMPAÑIA;COCLÉ;ANTÓN;EL VALLE;8.606749290;-80.13441530;Primaria;608;SI;MARÍTIMO;Alberto Castillo;6537-7907;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.192/30;172.17.158.0/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
634;C.E.B.G. JUAN DIAZ;COCLÉ;ANTÓN;JUAN DÍAZ;8.465360930;-80.28385970;Primaria;328;SI;TERRESTRE;MARIXENIA JAÉN DE CHAVARRÍA;6285-1236;DANIEL HERRERA;66775810;Construcción OE;10.80.86.16/30;172.17.48.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
636;C.E.B.G. BILINGÜE ANGELINA M. DE TIRONE;COCLÉ;ANTÓN;RÍO HATO;8.379805660;-80.16358190;Primaria;1207;SI;MARÍTIMO;Tomás E.  Pérez;6537-5922;DANIEL HERRERA;66775810;Drop CWP;10.60.61.172/30;172.16.29.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
637;C.E.B.G. LA MATA;COCLÉ;ANTÓN;RÍO HATO;8.475083090;-80.09524860;Basica General;352;SI;TERRESTRE;Omaira Silleros de Stonestreet;6520-9812  ;DANIEL HERRERA;66775810;Construcción OE;10.80.86.20/30;172.17.48.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
638;C.E.B.G. LOS POLLOS;COCLÉ;ANTÓN;RÍO HATO;8.410638940;-80.15830410;Primaria;105;SI;TERRESTRE;Laura Garces;6491-2025;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.32/30;172.17.1.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
645;C.E.B.G. SANTA CLARA;COCLÉ;ANTÓN;RÍO HATO;8.380916750;-80.11052640;Primaria;14;SI;TERRESTRE;SINDY LORENZO;6822-9456;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.196/30;172.17.158.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
646;ESC. EL PLATANAL;COCLÉ;ANTÓN;RÍO HATO;8.404527860;-80.08552630;Primaria;55;SI;TERRESTRE;NITZIA RODRÍGUEZ;6465-1484;DANIEL HERRERA;66775810;Construcción OE;10.80.86.24/30;172.17.48.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
647;C.E.B.G. ELIZABETH FLORES DE HERRERA;COCLÉ;ANTÓN;RÍO HATO;8.437583240;-80.15969300;Basica General;81;SI;TERRESTRE;Nivia Esthela Aguilar;6952-6140;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.36/30;172.17.1.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
648;ESC. FARALLON;COCLÉ;ANTÓN;RÍO HATO;8.356472450;-80.13719300;Primaria;88;SI;TERRESTRE;Susana Guillén Núñez ;6588-0195;DANIEL HERRERA;66775810;Drop CWP;10.60.63.196/30;172.16.46.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
649;C.E.B.G. LAS GUIAS DE ORIENTE;COCLÉ;ANTÓN;RÍO HATO;8.428138770;-80.07108190;Basica General;185;SI;TERRESTRE;APOLONIA SEGURA;6891-5742;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.200/30;172.17.158.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
650;CTRO. EDUCATIVO LAS GUIAS OCCI- DENTE;COCLÉ;ANTÓN;RÍO HATO;8.400638980;-80.09413750;Basica General;84;SI;TERRESTRE;CHRISTIAN CASTILLO M.;6605-5692;DANIEL HERRERA;66775810;Construcción OE;10.80.86.28/30;172.17.48.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
651;C.E.B.G. ALTOS DE LA ESTANCIA;COCLÉ;ANTÓN;SAN JUAN DE DIOS;8.593853000;-80.17450300;Basica General;407;SI;TERRESTRE;Wilfredo Aizprúa Sosa;6708 5069;DANIEL HERRERA;66775810;Construcción OE;10.80.86.32/30;172.17.49.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
652;C.E.B.G. LA COCA;COCLÉ;ANTÓN;CABALLERO;8.561471660;-80.18441530;Primaria;54;SI;TERRESTRE;LUIS PINTO;6830-6002;DANIEL HERRERA;66775810;Construcción OE;10.80.86.36/30;172.17.49.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
654;C.E.B.G. EL CHUMI- CAL;COCLÉ;ANTÓN;SAN JUAN DE DIOS;8.528138490;-80.25691530;Primaria;51;SI;TERRESTRE;TOMAS ORTEGA;6456-7147;DANIEL HERRERA;66775810;Construcción OE;10.80.86.40/30;172.17.49.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
661;C.E.B.G. TEBUJO;COCLÉ;ANTÓN;CABALLERO;8.562304960;-80.19969300;Primaria;90;SI;TERRESTRE;ADRIAN ADAMES;6583-4134;DANIEL HERRERA;66775810;Construcción OE;10.80.86.44/30;172.17.49.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
662;ESC. TRANQUILLA;COCLÉ;ANTÓN;CABALLERO;8.495360820;-80.22774860;Primaria;130;SI;TERRESTRE;YIXMARA TORRES;6602-2808;DANIEL HERRERA;66775810;Construcción OE;10.80.86.48/30;172.17.49.128/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
663;C.E.B.G. EL ENTRA- DERO;COCLÉ;ANTÓN;SAN JUAN DE DIOS;8.564249450;-80.21385970;Primaria;134;SI;TERRESTRE;MARIELA MARTÍNEZ;6941-7512;DANIEL HERRERA;66775810;Construcción OE;10.80.86.52/30;172.17.49.160/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
664;C.E.B.G. CABALLERO;COCLÉ;ANTÓN;CABALLERO;8.547027320;-80.19691530;Primaria;143;SI;TERRESTRE;Ginela R. de Barrios;6929-2413  ;DANIEL HERRERA;66775810;Construcción OE;10.80.86.56/30;172.17.49.192/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
665;C.E.B.G. LOS CERRITOS;COCLÉ;ANTÓN;CABALLERO;8.568416030;-80.17413750;Basica General;118;SI;TERRESTRE;Miroslava Carrillo;6327-6562;DANIEL HERRERA;66775810;Construcción OE;10.80.86.60/30;172.17.49.224/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
670;C.E.B.G. SANTA RITA ARRIBA;COCLÉ;ANTÓN;SANTA RITA;8.499527500;-80.18802640;Basica General;60;SI;TERRESTRE;NILKA OLIVARES;6929-6940;DANIEL HERRERA;66775810;Drop CWP;10.80.97.36/30;172.17.137.32/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
671;C.E.B.G. LAS BOQUILLAS;COCLÉ;LA PINTADA;LA PINTADA;8.565650000;-80.47044000;Primaria;18;SI;TERRESTRE;XIOMARA CASTRO;6507-3597;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.40/30;172.17.1.64/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
672;ESC. LOS REYES;COCLÉ;LA PINTADA;LA PINTADA;8.610180000;-80.41560000;Primaria;15;SI;TERRESTRE;Viena Vergara C.;6887-2264;DANIEL HERRERA;66775810;Construcción FTTH;10.80.80.44/30;172.17.1.96/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;1;;;0;;;Aguadulce;;Enero 2026;;NO
676;I.P.T. LA PINTADA;COCLÉ;LA PINTADA;LA PINTADA;8.570638330;-80.45108190;Prof. Y Tecnica;401;SI;TERRESTRE;GERARDO DE LA CRUZ;6432-1790;DANIEL HERRERA;66775810;Fibra Activa CWP;10.60.63.20/30;172.16.40.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
685;C.E.B.G. TORO BRAVO;COCLÉ;LA PINTADA;LA PINTADA;8.548138410;-80.46524860;Primaria;8;SI;TERRESTRE;Aida Rodríguez de Achurra;6573-4554;DANIEL HERRERA;66775810;Construcción OE;10.80.86.64/30;172.17.50.0/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
687;C.E.B.G. BILINGÜE JOSE NADAL SILVA;COCLÉ;LA PINTADA;LA PINTADA;8.592582640;-80.44524860;Primaria;481;SI;MARÍTIMO;IRIS LORENZO;6827-0747;DANIEL HERRERA;66775810;Drop CWP;10.60.64.28/30;172.16.48.224/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
688;ESC. MEMBRILLAR;COCLÉ;LA PINTADA;LA PINTADA;8.567860540;-80.40997080;Primaria;8;SI;TERRESTRE;Yulissa Stanziola.;6431-0051;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.212/30;172.17.158.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
